Species,longitude,latitude
1,29.667146,-15.767724
1,29.667131,-15.768013
1,29.66655,-15.767849
1,29.666462,-15.767489
1,29.666324,-15.766966
1,29.666623,-15.76839
1,29.666113,-15.769353
1,29.664665,-15.769922
1,29.664014,-15.76937
1,29.663506,-15.769024
1,29.664629,-15.770726
1,29.664116,-15.772882
1,29.665142,-15.774297
1,29.665477,-15.774934
1,29.664927,-15.774977
1,29.664667,-15.775061
1,29.664077,-15.774879
1,29.664221,-15.775871
1,29.664319,-15.776258
1,29.664554,-15.7764
1,29.665633,-15.776161
1,29.666545,-15.7767
1,29.666634,-15.775706
1,29.667807,-15.77552
1,29.666058,-15.774439
1,29.668128,-15.771542
1,29.667857,-15.771464
1,29.66805,-15.772717
1,29.668634,-15.773134
1,29.668963,-15.771866
1,29.669899,-15.781392
1,29.670435,-15.781006
1,29.671657,-15.78175
1,29.669781,-15.779533
1,29.669713,-15.779335
1,29.669399,-15.763894
1,29.668825,-15.777756
1,29.723841,-15.642662
1,29.736492,-16.020319
1,29.734653,-16.018337
1,29.734865,-16.018127
1,29.734723,-16.017957
1,29.736865,-16.018192
1,29.737729,-16.01791
1,29.738314,-16.018995
1,29.738944,-16.018689
1,29.738984,-16.01886
1,29.739009,-16.020016
1,29.739338,-16.020165
1,29.739584,-16.019719
1,29.739973,-16.018775
1,29.740136,-16.018394
1,29.73973,-16.018101
1,29.74013,-16.017942
1,29.74077,-16.017645
1,29.742728,-16.016726
1,29.742881,-16.015667
1,29.74291,-16.015703
1,29.742927,-16.015613
1,29.74314,-16.015447
1,29.743061,-16.014491
1,29.742922,-16.014583
1,29.742167,-16.013933
1,29.740781,-16.014376
1,29.740648,-16.014215
1,29.73658,-16.018548
1,29.594967,-15.763764
1,29.595512,-15.763388
1,29.59555,-15.763405
1,29.59569,-15.763458
1,29.595636,-15.763603
1,29.595903,-15.764015
1,29.596008,-15.76349
1,29.596242,-15.763578
1,29.596259,-15.76346
1,29.596163,-15.763235
1,29.596563,-15.763149
1,29.596795,-15.763065
1,29.596762,-15.762659
1,29.597997,-15.762202
1,29.598416,-15.76217
1,29.599057,-15.762659
1,29.599206,-15.762666
1,29.599349,-15.762908
1,29.600036,-15.762629
1,29.600227,-15.762247
1,29.601691,-15.761534
1,29.603529,-15.760826
1,29.603889,-15.761987
1,29.603574,-15.76218
1,29.604276,-15.762334
1,29.604322,-15.76302
1,29.603034,-15.762936
1,29.602156,-15.762848
1,29.601795,-15.763818
1,29.60187,-15.763826
1,29.600731,-15.763759
1,29.600333,-15.764757
1,29.600567,-15.764827
1,29.601609,-15.765347
1,29.603085,-15.765483
1,29.602734,-15.765758
1,29.602803,-15.766101
1,29.602462,-15.766412
1,29.599458,-15.764858
1,29.599363,-15.765455
1,29.598313,-15.762902
1,29.603623,-15.768186
1,29.603882,-15.768012
1,29.605999,-15.765069
1,29.605511,-15.764117
1,29.604578,-15.764083
1,29.604401,-15.764826
1,29.603789,-15.764427
1,29.603388,-15.764377
1,29.601395,-15.767563
1,29.605003,-15.802485
1,29.611742,-15.802015
1,29.584997,-16.047878
1,29.581008,-16.047799
1,29.609952,-15.927489
1,29.609459,-15.926935
1,29.609843,-15.928412
1,29.610711,-15.929151
1,29.611452,-15.929458
1,29.611144,-15.93013
1,29.609832,-15.929758
1,29.608257,-15.933552
1,29.606721,-15.932442
1,29.60485,-15.930721
1,29.606745,-15.930671
1,29.606444,-15.929799
1,29.605938,-15.928956
1,29.606028,-15.928684
1,29.605916,-15.927962
1,29.605254,-15.928016
1,29.605091,-15.927656
1,29.601074,-15.927452
1,29.600543,-15.925363
1,29.581666,-15.962397
1,29.581897,-15.963668
1,29.583168,-15.957917
1,29.580631,-15.966158
1,29.580026,-15.965569
1,29.579931,-15.969093
1,29.582262,-15.96519
1,29.580366,-15.96664
1,29.581334,-15.96055
1,29.585483,-15.960816
1,29.582455,-15.965676
1,29.887999,-16.046653
1,29.896153,-16.041566
1,29.895945,-16.041832
1,29.894638,-16.035993
1,29.894632,-16.035146
1,30.06358,-16.04947
1,30.040638,-16.049697
1,30.04066,-16.04959
1,30.038548,-16.048595
1,30.03855,-16.04883
1,30.029889,-16.062544
1,30.030451,-16.063035
1,30.045044,-16.079489
1,30.044758,-16.079253
1,30.057077,-16.088452
1,30.05648,-16.087606
1,30.100253,-16.160647
1,30.100164,-16.160885
1,29.864271,-16.135226
1,29.864064,-16.135091
1,29.894852,-16.207902
1,29.936068,-16.203549
1,29.936105,-16.203586
1,29.941256,-16.203457
1,29.950247,-16.202908
1,29.95034,-16.202771
1,29.95165,-16.202532
1,29.951688,-16.202537
1,29.974665,-16.233445
1,29.970599,-16.204011
1,29.958673,-16.198898
1,29.958716,-16.198954
1,29.996088,-16.183454
1,29.996064,-16.183286
1,29.999103,-16.181001
1,29.999537,-16.180587
1,29.999668,-16.180482
1,29.359761,-15.800316
1,29.368401,-15.854812
1,29.370016,-15.864744
1,29.371309,-15.872776
1,29.372755,-15.881567
1,29.373138,-15.883797
1,29.374723,-15.893975
1,29.37471,-15.90496
1,29.373976,-15.90696
1,29.371648,-15.91333
1,29.371473,-15.91718
1,29.371474,-15.918666
1,29.371519,-15.92539
1,29.373265,-15.931689
1,29.372584,-15.938336
1,29.368841,-15.941218
1,29.372754,-15.962627
1,29.398493,-15.983166
1,29.391541,-16.012409
